Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","9,15","31,97","3.796.269","121.366.720","-","Financeiro e Outros","B037HR3","BRITUBACNPR1","XBSP","Brasil","BRL","1,00"
"PETR4","PETROLEO BRASILEIRO PREF SA","7,49","17,29","5.745.600","99.341.424","-","Oil, Gas and Biofuels","2684532","BRPETRACNPR6","XBSP","Brasil","BRL","1,00"
"BBDC4","BANCO BRADESCO PREF SA","7,04","32,05","2.914.299","93.403.283","-","Financeiro e Outros","B00FM53","BRBBDCACNPR8","XBSP","Brasil","BRL","1,00"
"ABEV3","AMBEV SA","5,61","15,76","4.717.400","74.346.224","-","Consumo Não Cíclico","BG7ZWY7","BRABEVACNOR1","XBSP","Brasil","BRL","1,00"
"VALE5","VALE PREF SA","5,30","26,35","2.667.600","70.291.260","-","Materiais Básicos","2257127","BRVALEACNPA3","XBSP","Brasil","BRL","1,00"
"PETR3","PETROBRAS","4,71","16,24","3.847.500","62.483.400","-","Oil, Gas and Biofuels","2682365","BRPETRACNOR9","XBSP","Brasil","BRL","1,00"
"VALE3","CIA VALE DO RIO DOCE SH","3,99","29,24","1.809.500","52.909.780","-","Materiais Básicos","2196286","BRVALEACNOR0","XBSP","Brasil","BRL","1,00"
"BRFS3","BRF SA","3,54","53,40","880.100","46.997.340","-","Consumo Não Cíclico","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO S/A","3,17","45,50","923.498","42.019.159","-","Financeiro e Outros","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","2,86","8,69","4.360.560","37.893.266","-","Financeiro e Outros","2458771","BRITSAACNPR7","XBSP","Brasil","BRL","1,00"
"BBSE3","BB SEGURIDADE SA","2,38","32,44","974.700","31.619.268","-","Financeiro e Outros","B9N3SQ0","BRBBSEACNOR5","XBSP","Brasil","BRL","1,00"
"BVMF3","B3 BRASIL BOLSA BALCAO SA","2,33","11,59","2.667.600","30.917.484","-","Financeiro e Outros","B2RHNV9","BRBVMFACNOR3","XBSP","Brasil","BRL","1,00"
"BBAS3","BANCO DO BRASIL S/A","2,31","24,85","1.231.200","30.595.320","-","Financeiro e Outros","2328595","BRBBASACNOR3","XBSP","Brasil","BRL","1,00"
"UGPA3","ULTRAPAR PARTICIPOES SA","1,86","52,60","467.700","24.601.020","-","Financeiro e Outros","B0FHTN1","BRUGPAACNOR8","XBSP","Brasil","BRL","1,00"
"PCAR4","COMPANHIA BRASILEIRA DE DISTRIBUIC","1,79","102,99","229.860","23.673.281","-","Consumo Não Cíclico","B5VGS74","BRPCARACNPR0","XBSP","Brasil","BRL","1,00"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","1,67","18,00","1.231.200","22.161.600","-","Constru��o e Transporte","2840970","BRCCROACNOR2","XBSP","Brasil","BRL","1,00"
"BBDC3","BANCO BRADESCO SA","1,59","32,24","654.695","21.107.367","-","Financeiro e Outros","B00FM86","BRBBDCACNOR1","XBSP","Brasil","BRL","1,00"
"EMBR3","EMBRAER SA","1,56","20,19","1.026.000","20.714.940","-","Bens Industriais","B16FPG6","BREMBRACNOR4","XBSP","Brasil","BRL","1,00"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","1,53","15,12","1.339.800","20.257.776","-","Financeiro e Outros","B4V5RY4","BRSANBCDAM13","XBSP","Brasil","BRL","1,00"
"-","Brazilian Op. Compromissada","1,44","100,00","19.133.126","19.133.126","-","Caixa","-","-","-","-","BRL","1,00"
"KROT3","KROTON EDUCACIONAL SA","1,44","61,96","307.800","19.071.288","-","Consumo Cíclico","2836946","BRKROTACNOR9","XBSP","Brasil","BRL","1,00"
"JBSS3","JBS S/A","1,32","7,60","2.308.500","17.544.600","-","Consumo Não Cíclico","B1V74X7","BRJBSSACNOR8","XBSP","Brasil","BRL","1,00"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","1,31","16,14","1.077.340","17.388.268","-","Serviços públicos","B1YBRG0","BRCMIGACNPR3","XBSP","Brasil","BRL","1,00"
"VIVT4","TELEFONICA BRASIL PREF SA","1,23","45,00","361.100","16.249.500","-","Telecomunica��es","B3ZCNF7","BRVIVTACNPR7","XBSP","Brasil","BRL","1,00"
"GGBR4","GERDAU PREF SA","1,20","12,94","1.231.200","15.931.728","-","Materiais Básicos","2645517","BRGGBRACNPR8","XBSP","Brasil","BRL","1,00"
"TIMP3","TIM PARTICIPACOES S/A","1,10","12,92","1.128.600","14.581.512","-","Telecomunica��es","2292560","BRTIMPACNOR1","XBSP","Brasil","BRL","1,00"
"LREN3","LOJAS RENNER S/A","1,00","70,80","187.300","13.260.840","-","Consumo Cíclico","B0CGYD6","BRLRENACNOR1","XBSP","Brasil","BRL","1,00"
"CRUZ3","SOUZA CRUZ SA","0,97","22,77","564.300","12.849.111","-","Consumo Não Cíclico","2832148","BRCRUZACNOR0","XBSP","Brasil","BRL","1,00"
"ESTC3","ESTACIO PARTICIPACOES SA","0,91","29,25","410.400","12.004.200","-","Consumo Cíclico","B23PBF7","BRESTCACNOR5","XBSP","Brasil","BRL","1,00"
"BRML3","BR MALLS PARTICIPACOES S/A","0,87","18,80","615.600","11.573.280","-","Financeiro e Outros","B1RYG58","BRBRMLACNOR9","XBSP","Brasil","BRL","1,00"
"AEDU3","ANHANGUERA EDUCACIONAL SA","0,85","18,40","615.600","11.327.040","-","Consumo Cíclico","2796084","BRAEDUACNOR9","XBSP","Brasil","BRL","1,00"
"CTIP3","CETIP SA BALCAO ORGANIZADO DE ATIV","0,85","31,45","359.462","11.305.080","-","Financeiro e Outros","B55DVB6","BRCTIPACNOR2","XBSP","Brasil","BRL","1,00"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","0,82","23,55","461.700","10.873.035","-","Serviços públicos","B1YCHL8","BRSBSPACNOR5","XBSP","Brasil","BRL","1,00"
"EGIE3","TRACTEBEL ENERGIA SA","0,78","33,00","311.800","10.289.400","-","Serviços públicos","B07C763","BRTBLEACNOR2","XBSP","Brasil","BRL","1,00"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL","0,72","9,40","1.022.100","9.607.740","-","Materiais Básicos","B019KX8","BRCSNAACNOR6","XBSP","Brasil","BRL","1,00"
"NATU3","NATURA COSMETICOS S.A.","0,72","37,25","256.500","9.554.625","-","Consumo Não Cíclico","B014K55","BRNATUACNOR6","XBSP","Brasil","BRL","1,00"
"HYPE3","HYPERMARCAS S/A","0,67","19,25","461.700","8.887.725","-","Consumo Não Cíclico","B2QY968","BRHYPEACNOR0","XBSP","Brasil","BRL","1,00"
"LAME4","LOJAS AMERICANAS PN REP1 PREF SA","0,65","14,10","615.649","8.680.651","-","Consumo Cíclico","2516710","BRLAMEACNPR6","XBSP","Brasil","BRL","1,00"
