Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"IDNT9","IDEIASNET SA","0,02","2,97","1.307","3.882","-","Tecnologia de informação","B5TM9G0","BRIDNTR09OR3","XBSP","Brasil","BRL","1,00"
"FHER3","FERTILIZANTES HERINGER SA","0,13","7,46","3.000","22.380","-","Materiais Básicos","B1VQDQ0","BRFHERACNOR5","XBSP","Brasil","BRL","1,00"
"ODPV3","ODONTOPREV SA","1,57","62,90","4.200","264.180","-","Consumo Não Cíclico","B1H6R62","BRODPVACNOR4","XBSP","Brasil","BRL","1,00"
"CLSC6","CENTRAIS ELET DE SANTA CATALINA SA","0,92","34,25","4.500","154.125","-","Serviços públicos","B19PKQ8","BRCLSCACNPB7","XBSP","Brasil","BRL","1,00"
"CGAS5","COMPANHIA DE GAS DE SAO PAULO PF A","0,93","34,85","4.500","156.825","-","Serviços públicos","2039110","BRCGASACNPA3","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","3,58","133,95","4.500","602.775","-","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"ATOM3","ATOM PARTICIPACOES SA","0,01","0,45","4.800","2.160","-","Telecomunica��es","2475446","BRINETACNOR3","XBSP","Brasil","BRL","1,00"
"POSI3","POSITIVO INFORMATICA SA","0,48","16,97","4.800","81.456","-","Tecnologia de informação","B1J04K5","BRPOSIACNOR9","XBSP","Brasil","BRL","1,00"
"OHLB3","OBRASCON HUARTE LAIN BRASIL S.A.","1,34","41,89","5.400","226.206","-","Constru��o e Transporte","B0DK255","BROHLBACNOR6","XBSP","Brasil","BRL","1,00"
"CCIM3","CAMARGO CORREA DESENVOLVIMENTO IMO","0,19","5,10","6.300","32.130","-","Constru��o e Transporte","B1N4CZ4","BRCCIMACNOR5","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","0,27","6,86","6.600","45.276","-","Consumo Não Cíclico","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"ENEV3","ENEVA SA","0,77","19,70","6.600","130.020","-","Serviços públicos","B29VWQ7","BRMPXEACNOR2","XBSP","Brasil","BRL","1,00"
"LUPA3","LUPATECH S A SAINARY SHARES BRAZIL","0,82","21,00","6.600","138.600","-","Bens Industriais","B14TFV5","BRLUPAACNOR8","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","1,36","31,70","7.200","228.240","-","Financeiro e Outros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","1,88","43,99","7.200","316.728","-","Financeiro e Outros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"INEP4","INEPAR S/A","0,20","4,60","7.500","34.500","-","Bens Industriais","B0FNPN1","BRINEPACNPR8","XBSP","Brasil","BRL","1,00"
"TVIT3","TIVIT TERCEIRIZACAO ON","0,81","18,10","7.500","135.750","-","Tecnologia de informação","B4NSZN6","BRTVITACNOR4","XBSP","Brasil","BRL","1,00"
