Date,Price,Open,High,Low
"Jan 02, 2009",42.0,40.0,42.0,40.0
"Jan 05, 2009",49.0,42.0,53.0,42.0
"Jan 06, 2009",45.0,50.0,50.0,44.0
"Jan 07, 2009",43.0,44.0,44.0,42.0
"Jan 08, 2009",45.0,42.0,47.0,42.0
"Jan 09, 2009",47.0,45.0,52.0,45.0
"Jan 12, 2009",75.0,48.0,76.0,48.0
"Jan 13, 2009",57.0,66.0,71.0,56.0
"Jan 14, 2009",50.0,56.0,59.0,49.0
"Jan 15, 2009",49.0,49.0,52.0,47.0
"Jan 16, 2009",48.0,50.0,51.0,48.0
"Jan 19, 2009",48.0,48.0,51.0,47.0
"Jan 20, 2009",46.0,49.0,49.0,46.0
"Jan 21, 2009",46.0,47.0,48.0,45.0
"Jan 22, 2009",58.0,46.0,63.0,46.0
"Jan 23, 2009",53.0,55.0,62.0,52.0
"Jan 26, 2009",53.0,56.0,59.0,53.0
"Jan 27, 2009",51.0,54.0,55.0,51.0
"Jan 28, 2009",51.0,52.0,54.0,51.0
"Jan 29, 2009",51.0,52.0,52.0,50.0
"Jan 30, 2009",52.0,52.0,53.0,51.0
"Feb 02, 2009",53.0,51.0,54.0,50.0
"Feb 03, 2009",52.0,55.0,56.0,51.0
"Feb 04, 2009",51.0,52.0,54.0,51.0
"Feb 05, 2009",60.0,52.0,62.0,50.0
"Feb 06, 2009",58.0,63.0,63.0,57.0
"Feb 09, 2009",63.0,59.0,68.0,59.0
"Feb 10, 2009",62.0,65.0,68.0,61.0
"Feb 11, 2009",60.0,63.0,63.0,60.0
"Feb 12, 2009",64.0,61.0,64.0,61.0
"Feb 13, 2009",63.0,65.0,66.0,63.0
"Feb 16, 2009",62.0,63.0,64.0,62.0
"Feb 17, 2009",62.0,62.0,63.0,61.0
"Feb 18, 2009",64.0,62.0,66.0,62.0
"Feb 19, 2009",62.0,64.0,64.0,61.0
"Feb 20, 2009",59.0,61.0,62.0,59.0
"Feb 25, 2009",60.0,60.0,60.0,59.0
"Feb 26, 2009",57.0,61.0,61.0,56.0
"Feb 27, 2009",58.0,57.0,59.0,56.0
"Mar 02, 2009",61.0,60.0,68.0,59.0
"Mar 03, 2009",60.0,63.0,64.0,60.0
"Mar 04, 2009",59.0,63.0,63.0,59.0
"Mar 05, 2009",59.0,60.0,61.0,59.0
"Mar 06, 2009",59.0,59.0,60.0,58.0
"Mar 09, 2009",59.0,59.0,60.0,58.0
"Mar 10, 2009",59.0,59.0,61.0,59.0
"Mar 11, 2009",60.0,60.0,62.0,58.0
"Mar 12, 2009",59.0,60.0,60.0,59.0
"Mar 13, 2009",60.0,59.0,60.0,59.0
"Mar 16, 2009",60.0,60.0,60.0,58.0
"Mar 17, 2009",59.0,59.0,60.0,59.0
"Mar 18, 2009",58.0,59.0,60.0,58.0
"Mar 19, 2009",60.0,60.0,60.0,58.0
"Mar 20, 2009",58.0,58.0,59.0,58.0
"Mar 23, 2009",59.0,59.0,59.0,57.0
"Mar 24, 2009",61.0,58.0,62.0,57.0
"Mar 25, 2009",59.0,61.0,61.0,59.0
"Mar 26, 2009",59.0,59.0,60.0,58.0
"Mar 27, 2009",59.0,59.0,60.0,58.0
"Mar 30, 2009",57.0,59.0,59.0,57.0
"Mar 31, 2009",58.0,57.0,59.0,57.0
"Apr 01, 2009",58.0,58.0,59.0,57.0
"Apr 02, 2009",59.0,58.0,59.0,57.0
"Apr 03, 2009",60.0,59.0,60.0,58.0
