Date,Price,Open,High,Low
"Mar 14, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 15, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 16, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 19, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 20, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 21, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 22, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 23, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 26, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 27, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 28, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 29, 2012",2.84375,2.84375,2.84375,2.84375
"Mar 30, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 02, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 03, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 04, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 05, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 09, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 10, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 11, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 12, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 13, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 16, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 17, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 18, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 19, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 20, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 23, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 24, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 25, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 26, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 27, 2012",2.84375,2.84375,2.84375,2.84375
"Apr 30, 2012",2.84375,2.84375,2.84375,2.84375
"May 02, 2012",2.84375,2.84375,2.84375,2.84375
"May 03, 2012",2.84375,2.84375,2.84375,2.84375
"May 04, 2012",2.84375,2.84375,2.84375,2.84375
"May 07, 2012",2.84375,2.84375,2.84375,2.84375
"May 08, 2012",2.84375,2.84375,2.84375,2.84375
"May 09, 2012",2.84375,2.84375,2.84375,2.84375
"May 10, 2012",2.84375,2.84375,2.84375,2.84375
"May 11, 2012",2.84375,2.84375,2.84375,2.84375
"May 14, 2012",2.84375,2.84375,2.84375,2.84375
"May 15, 2012",2.84375,2.84375,2.84375,2.84375
"May 16, 2012",2.84375,2.84375,2.84375,2.84375
"May 17, 2012",2.84375,2.84375,2.84375,2.84375
"May 18, 2012",2.84375,2.84375,2.84375,2.84375
"May 21, 2012",2.84375,2.84375,2.84375,2.84375
"May 22, 2012",2.84375,2.84375,2.84375,2.84375
"May 23, 2012",2.84375,2.84375,2.84375,2.84375
"May 24, 2012",2.84375,2.84375,2.84375,2.84375
"May 25, 2012",2.84375,2.84375,2.84375,2.84375
"May 28, 2012",2.84375,2.84375,2.84375,2.84375
"May 29, 2012",2.84375,2.84375,2.84375,2.84375
"May 30, 2012",2.84375,2.84375,2.84375,2.84375
"May 31, 2012",2.84375,2.84375,2.84375,2.84375
"Jun 01, 2012",2.021250009536743,2.012500047683716,2.021250009536743,2.012500047683716
"Jun 04, 2012",2.021250009536743,2.021250009536743,2.021250009536743,2.021250009536743
