Date,Price,Open,High,Low
"Jan 02, 2009",7.5,7.5,8.0,7.5
"Jan 05, 2009",8.0,7.5,8.0,7.5
"Jan 06, 2009",8.0,8.0,8.0,7.5
"Jan 07, 2009",8.0,8.0,8.0,7.5
"Jan 08, 2009",8.0,7.5,8.0,7.5
"Jan 09, 2009",8.0,8.5,8.5,8.0
"Jan 12, 2009",8.0,8.0,8.5,7.5
"Jan 13, 2009",8.0,8.0,8.5,7.5
"Jan 14, 2009",7.5,8.5,8.5,7.5
"Jan 15, 2009",8.0,8.0,8.0,7.5
"Jan 16, 2009",8.0,8.5,8.5,8.0
"Jan 19, 2009",8.0,8.0,8.5,8.0
"Jan 20, 2009",7.5,8.0,8.5,7.5
"Jan 21, 2009",7.5,8.0,8.0,7.5
"Jan 22, 2009",8.0,8.0,8.0,7.5
"Jan 23, 2009",8.0,8.0,8.0,7.5
"Jan 26, 2009",7.5,7.5,8.0,7.5
"Jan 27, 2009",7.5,7.5,8.0,7.5
"Jan 28, 2009",7.5,8.0,8.0,7.5
"Jan 29, 2009",7.5,7.5,8.0,7.5
"Jan 30, 2009",7.5,8.0,8.0,7.5
"Feb 02, 2009",8.0,7.5,8.0,7.5
"Feb 03, 2009",7.5,8.0,8.0,7.5
"Feb 04, 2009",7.5,7.5,8.0,7.5
"Feb 05, 2009",7.5,7.5,8.0,7.5
"Feb 06, 2009",7.5,7.5,8.0,7.5
"Feb 09, 2009",7.5,7.5,8.0,7.5
"Feb 10, 2009",7.5,7.5,8.0,7.5
"Feb 11, 2009",7.5,7.5,8.0,7.0
"Feb 12, 2009",7.5,7.5,7.5,7.0
"Feb 13, 2009",7.5,7.5,7.5,7.0
"Feb 16, 2009",7.0,7.5,7.5,7.0
"Feb 17, 2009",7.5,7.5,7.5,7.0
"Feb 18, 2009",7.5,7.5,7.5,7.0
"Feb 19, 2009",7.5,7.5,7.5,7.0
"Feb 20, 2009",7.5,7.5,7.5,7.0
"Feb 25, 2009",7.5,7.5,7.5,7.0
"Feb 26, 2009",7.0,7.5,7.5,7.0
"Feb 27, 2009",7.5,7.0,7.5,7.0
"Mar 02, 2009",7.0,7.0,7.5,7.0
"Mar 03, 2009",7.0,7.0,7.5,7.0
"Mar 04, 2009",7.0,7.5,7.5,7.0
"Mar 05, 2009",7.5,7.0,7.5,7.0
"Mar 06, 2009",7.0,7.0,7.5,6.5
"Mar 09, 2009",6.5,7.0,7.0,6.5
"Mar 10, 2009",7.0,6.5,7.5,6.5
"Mar 11, 2009",7.0,7.5,7.5,7.0
"Mar 12, 2009",7.5,7.0,7.5,7.0
"Mar 13, 2009",7.0,7.0,7.5,7.0
"Mar 16, 2009",7.0,7.0,7.5,7.0
"Mar 17, 2009",7.0,7.0,7.5,7.0
"Mar 18, 2009",7.0,7.5,7.5,7.0
"Mar 19, 2009",7.5,7.0,7.5,7.0
"Mar 20, 2009",7.0,7.5,7.5,7.0
"Mar 23, 2009",7.0,7.5,7.5,7.0
"Mar 24, 2009",7.0,7.5,7.5,7.0
"Mar 25, 2009",7.0,7.0,7.5,7.0
"Mar 26, 2009",7.0,7.0,7.5,7.0
"Mar 27, 2009",7.0,7.0,7.5,7.0
"Mar 30, 2009",7.0,7.0,7.5,6.5
"Mar 31, 2009",7.0,7.0,7.0,6.5
"Apr 01, 2009",7.0,7.0,7.0,6.5
"Apr 02, 2009",6.5,7.0,7.5,6.5
"Apr 03, 2009",7.0,7.0,7.0,6.5
"Apr 06, 2009",7.0,7.0,7.0,6.5
"Apr 07, 2009",6.5,7.0,7.0,6.5
"Apr 08, 2009",7.0,7.0,7.0,6.5
"Apr 09, 2009",7.0,7.0,7.5,7.0
"Apr 13, 2009",7.0,7.5,7.5,7.0
"Apr 14, 2009",7.0,7.5,7.5,7.0
"Apr 15, 2009",7.0,7.0,7.0,6.5
"Apr 16, 2009",7.0,7.0,7.5,7.0
"Apr 17, 2009",7.0,7.0,7.5,7.0
"Apr 20, 2009",7.0,7.0,7.5,6.5
"Apr 22, 2009",9.5,7.0,9.5,7.0
"Apr 23, 2009",8.0,9.0,9.5,7.5
"Apr 24, 2009",8.0,8.5,8.5,8.0
"Apr 27, 2009",8.0,8.0,8.5,7.5
"Apr 28, 2009",8.5,8.0,8.5,8.0
"Apr 29, 2009",8.5,8.5,8.5,8.0
"Apr 30, 2009",8.0,8.5,8.5,8.0
"May 04, 2009",8.0,8.0,8.5,8.0
"May 05, 2009",8.5,8.5,8.5,8.0
"May 06, 2009",8.5,8.5,8.5,8.0
"May 07, 2009",9.0,9.0,10.0,9.0
"May 08, 2009",9.5,9.5,10.0,9.0
"May 11, 2009",9.5,9.5,10.0,9.0
"May 12, 2009",8.5,9.5,10.0,8.5
"May 13, 2009",9.0,8.5,9.0,8.5
"May 14, 2009",9.0,9.0,9.0,8.5
"May 15, 2009",9.0,9.0,9.0,8.5
"May 18, 2009",8.5,9.0,9.0,8.5
"May 19, 2009",8.5,8.5,9.0,8.5
"May 20, 2009",8.5,8.5,9.0,8.5
"May 21, 2009",8.5,9.0,9.0,8.0
"May 22, 2009",8.5,8.5,9.0,8.5
"May 25, 2009",8.0,8.5,9.0,8.0
"May 26, 2009",8.5,8.5,8.5,8.0
"May 27, 2009",8.5,8.5,9.0,8.0
"May 28, 2009",8.5,8.5,9.0,8.0
"May 29, 2009",8.5,8.5,8.5,8.0
"Jun 01, 2009",8.5,8.5,9.0,8.0
"Jun 02, 2009",8.0,9.0,9.0,8.0
"Jun 03, 2009",8.0,8.5,8.5,8.0
"Jun 04, 2009",8.5,8.0,8.5,8.0
"Jun 05, 2009",8.5,8.5,8.5,8.0
"Jun 08, 2009",8.5,8.5,8.5,8.0
"Jun 09, 2009",8.0,8.5,8.5,8.0
"Jun 10, 2009",8.0,8.5,8.5,8.0
"Jun 12, 2009",8.5,8.0,8.5,7.5
"Jun 15, 2009",8.0,8.0,8.5,8.0
"Jun 16, 2009",8.0,8.5,8.5,8.0
"Jun 17, 2009",8.0,8.0,8.5,7.5
"Jun 18, 2009",8.5,8.5,8.5,8.0
"Jun 19, 2009",8.0,8.0,8.5,8.0
"Jun 22, 2009",8.5,8.0,8.5,8.0
"Jun 23, 2009",8.0,8.0,8.5,8.0
"Jun 24, 2009",8.5,8.5,8.5,8.0
"Jun 25, 2009",8.5,8.5,8.5,8.0
"Jun 26, 2009",8.5,8.5,8.5,8.0
"Jun 29, 2009",8.0,8.0,8.5,8.0
"Jun 30, 2009",8.0,8.5,8.5,8.0
"Jul 01, 2009",8.0,8.5,8.5,8.0
"Jul 02, 2009",8.0,8.5,8.5,8.0
"Jul 03, 2009",8.5,8.5,8.5,8.0
"Jul 06, 2009",8.5,8.0,8.5,8.0
"Jul 07, 2009",8.0,8.0,8.5,8.0
"Jul 08, 2009",8.0,8.0,8.5,8.0
"Jul 09, 2009",8.0,8.0,8.0,8.0
"Jul 10, 2009",8.0,8.5,8.5,8.0
"Jul 13, 2009",8.0,8.0,8.5,8.0
"Jul 14, 2009",8.0,8.0,8.5,7.5
"Jul 15, 2009",8.0,8.0,8.0,7.5
"Jul 16, 2009",8.0,8.0,8.0,7.5
"Jul 17, 2009",8.0,8.0,8.0,7.5
