Date,Price,Open,High,Low
"Jan 02, 2009",65.5,69.0,69.0,65.0
"Jan 05, 2009",64.0,66.5,68.5,63.5
"Jan 06, 2009",66.0,65.0,67.5,63.5
"Jan 07, 2009",64.0,66.0,67.0,64.0
"Jan 08, 2009",65.0,63.5,65.0,63.5
"Jan 09, 2009",65.5,65.0,69.0,65.0
"Jan 12, 2009",72.5,66.0,79.0,65.0
"Jan 13, 2009",69.0,73.5,76.0,67.0
"Jan 14, 2009",65.0,69.5,69.5,65.0
"Jan 15, 2009",63.5,65.0,66.0,62.5
"Jan 16, 2009",64.0,65.0,65.0,63.0
"Jan 19, 2009",64.0,64.5,65.0,63.0
"Jan 20, 2009",62.5,63.5,64.0,62.0
"Jan 21, 2009",62.0,62.5,63.5,60.5
"Jan 22, 2009",61.0,62.0,62.0,57.0
"Jan 23, 2009",60.5,59.0,62.5,58.0
"Jan 26, 2009",62.0,60.5,65.5,60.0
"Jan 27, 2009",62.0,62.5,62.5,61.0
"Jan 28, 2009",60.0,62.5,63.5,60.0
"Jan 29, 2009",60.0,61.0,61.5,59.0
"Jan 30, 2009",63.0,60.5,63.0,59.0
"Feb 02, 2009",62.0,62.5,62.5,61.0
"Feb 03, 2009",60.0,61.0,62.0,59.5
"Feb 04, 2009",61.0,60.5,62.5,59.5
"Feb 05, 2009",59.5,59.5,60.0,58.0
"Feb 06, 2009",60.0,60.0,61.0,59.5
"Feb 09, 2009",60.0,60.0,61.0,59.5
"Feb 10, 2009",60.5,61.0,61.5,58.5
"Feb 11, 2009",59.5,59.5,60.5,59.0
"Feb 12, 2009",58.0,59.0,60.0,57.0
"Feb 13, 2009",58.0,58.5,58.5,57.0
"Feb 16, 2009",57.0,58.0,58.0,55.0
"Feb 17, 2009",54.0,55.0,56.0,53.5
"Feb 18, 2009",54.0,53.5,54.0,52.5
"Feb 19, 2009",52.5,54.5,56.0,51.0
"Feb 20, 2009",50.0,51.0,51.5,49.0
"Feb 25, 2009",48.5,50.0,50.0,48.5
"Feb 26, 2009",48.0,50.0,50.0,47.5
"Feb 27, 2009",46.5,47.0,47.0,44.0
"Mar 02, 2009",45.0,46.5,46.5,44.5
"Mar 03, 2009",45.0,46.0,47.0,45.0
"Mar 04, 2009",45.5,46.0,47.5,45.5
"Mar 05, 2009",45.5,46.0,47.0,45.5
"Mar 06, 2009",45.5,45.5,46.0,45.0
"Mar 09, 2009",46.5,45.5,46.5,45.5
"Mar 10, 2009",48.0,47.5,51.0,47.5
"Mar 11, 2009",47.0,48.5,51.0,46.5
"Mar 12, 2009",47.5,48.0,49.0,47.0
"Mar 13, 2009",47.5,49.0,49.0,46.5
"Mar 16, 2009",47.0,47.5,49.0,46.0
"Mar 17, 2009",47.0,46.5,48.0,46.0
"Mar 18, 2009",46.0,47.0,48.0,46.0
"Mar 19, 2009",46.0,46.5,47.0,45.0
"Mar 20, 2009",45.0,45.5,46.5,44.5
"Mar 23, 2009",45.5,45.0,47.0,44.5
"Mar 24, 2009",45.5,45.5,46.0,45.0
"Mar 25, 2009",46.0,45.5,47.0,45.5
"Mar 26, 2009",46.0,46.5,47.0,45.5
"Mar 27, 2009",46.0,46.0,46.5,45.5
"Mar 30, 2009",46.0,46.0,47.5,45.5
"Mar 31, 2009",46.0,47.5,47.5,46.0
"Apr 01, 2009",46.5,47.0,47.0,46.5
"Apr 02, 2009",51.5,47.0,55.0,47.0
"Apr 03, 2009",54.5,52.5,57.0,52.5
"Apr 06, 2009",61.5,55.0,62.5,51.5
"Apr 07, 2009",59.0,61.0,64.5,58.5
"Apr 08, 2009",56.5,59.5,60.5,55.0
"Apr 09, 2009",58.0,59.0,60.0,55.5
"Apr 13, 2009",58.5,59.5,61.0,57.5
"Apr 14, 2009",59.0,59.0,63.0,56.5
"Apr 15, 2009",64.5,59.5,65.0,59.5
"Apr 16, 2009",71.5,67.5,77.0,65.5
"Apr 17, 2009",74.5,73.5,76.5,68.5
"Apr 20, 2009",74.5,74.5,75.0,71.5
"Apr 22, 2009",80.0,74.5,82.5,74.5
"Apr 23, 2009",86.0,82.5,87.0,82.5
"Apr 24, 2009",95.0,87.5,97.0,87.5
"Apr 27, 2009",112.0,92.5,115.0,89.0
"Apr 28, 2009",131.5,114.5,131.5,113.0
"Apr 29, 2009",138.0,148.0,154.0,136.0
"Apr 30, 2009",117.0,142.5,142.5,115.0
"May 04, 2009",120.0,117.5,129.5,115.5
"May 05, 2009",116.5,120.0,124.0,109.0
"May 06, 2009",109.0,118.0,118.5,109.0
